T,TND,N,cohs,S,K,A,i,thresh
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,0,1.0290978076396946
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,1,1.0949591985904605
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,2,1.3881333688597752
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,3,1.4313276588552362
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,4,1.5150883538346598
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,5,1.4029486326731624
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,6,1.4030240607021713
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,7,1.3703379722002156
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,8,1.3864959175630966
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,9,1.3916309094076067
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,10,1.3915396308230157
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,11,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,12,1.3950688460167682
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,13,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,14,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,15,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,16,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,17,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,18,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,19,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,20,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,21,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,22,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,23,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,24,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,25,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,26,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,27,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,28,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,29,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,30,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,31,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,32,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,33,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,34,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,35,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,36,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,37,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,38,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,39,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,40,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,41,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,42,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,43,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,44,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,45,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,46,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,47,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,48,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,49,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,3,4,50,1.3985096810871385
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,0,1.0290978076396946
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,1,1.0446345708823745
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,2,3.3040504989074777
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,3,0.91614350883230278
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,4,0.55036381605132856
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,5,0.49430823786158018
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,6,0.45533393970456959
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,7,0.42840921416884276
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,8,0.40807400029332908
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,9,0.3928252243989413
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,10,0.39566305678523961
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,11,0.38209795298143795
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,12,0.38456658426750323
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,13,0.38235304117465985
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,14,0.37665488082452758
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,15,0.37321517732318871
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,16,0.37079274784418248
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,17,0.3736737553390399
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,18,0.37393530717488088
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,19,0.37321517732318871
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,20,0.37321517732318871
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,21,0.37082024937380997
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,3,3,22,0.37082024937380997
