T,TND,N,cohs,S,K,A,i,thresh
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,0,1.0290978076396946
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,1,1.2277357953510597
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,2,1.0475966901865905
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,3,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,4,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,5,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,6,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,7,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,8,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,9,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,10,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,11,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,12,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,13,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,14,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,15,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,16,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,17,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,18,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,19,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,20,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,21,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,22,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,23,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,24,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,25,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,26,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,27,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,28,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,29,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,1,30,nan
